species,perim_by_area,sla,vein_length_by_area,leaf_length,petiole_length,stem_specific_density
Quercus_agrifolia,1.6661774,7.223099,0.06869389,6.2,9.9,0.9724848
Quercus_alba,1.1435344,11.997776,0.03684263,14.228571,12.214286,1.0668036
Quercus_arizonica,2.0880294,6.221045,0.08492614,4.833333,4.733333,1.031622
Quercus_bicolor,0.7306093,12.006128,0.03427688,13.811111,9.544444,0.9500988
Quercus_chrysolepis,1.8359965,5.790986,0.07449495,4.45,4.7,1.0597724
Quercus_coccinea,1.549604,9.300941,0.03521994,17.361111,42.511111,0.9403956
Quercus_douglasii,1.5577679,7.603848,0.09896877,5.005556,4.905556,0.8432268
Quercus_ellipsoidalis,2.7536229,9.311386,0.06125556,12.806667,29.566667,1.2089801
Quercus_emoryi,2.2601897,6.782283,0.09028424,4.3,3.322222,1.0297306
Quercus_engelmannii,1.8348949,6.687461,0.13687876,4.95,3.95,0.877631
Quercus_falcata,1.0723944,11.028908,0.04191574,14.94,16.52,1.0426164
Quercus_gambelii,2.0368153,8.207101,0.06616653,9.573333,8.186667,1.1262614
Quercus_garryana,1.5067869,10.515151,0.05161761,8.66,9.46,1.0346273
Quercus_grisea,2.6486961,8.51757,0.13574944,2.791667,2.558333,1.217205
Quercus_hypoleucoides,1.720267,3.870675,0.08847138,7.188889,6.111111,1.1443493
Quercus_ilicifolia,1.1865974,9.0142,0.04902106,9.026667,13.106667,1.0249448
Quercus_imbricaria,1.3289365,7.069119,0.08917257,10.166667,6.544444,1.1188456
Quercus_incana,1.2697767,9.602915,0.05841474,8.066667,3.953333,0.9391789
Quercus_kelloggii,2.1756787,15.245141,0.04567953,9.473333,15.993333,1.0507329
Quercus_laevis,0.9944203,9.534221,0.03552502,16.391667,9.5,1.0660083
Quercus_laurifolia,1.5593007,9.499628,0.08215327,7.320833,3.508333,1.115022
Quercus_lobata,1.9297265,12.795808,0.0525356,6.26,5.56,0.9352981
Quercus_lyrata,1.2907997,11.181052,0.0541919,12.704167,8.625,0.9703281
Quercus_macrocarpa,0.8189031,9.101673,0.02935335,17.063333,19.46,1.0830227
Quercus_margarettae,1.3230541,10.463675,0.05356921,8.55,8.466667,0.9074259
Quercus_marilandica,0.7893962,8.018669,0.03629327,11.800556,15.022222,0.9578315
Quercus_michauxi,0.806352925,10.30960914,0.04207504,16.31111111,18.63333333,1.051828614
Quercus_minima,2.2890777,5.080889,0.10552839,5.2875,3.141667,0.9064423
Quercus_montana,0.6781708,14.701922,0.03019385,14.82,14.893333,0.8655429
Quercus_muehlenbergii,0.8897005,10.494067,0.04897483,13.78,22.153333,0.974799
Quercus_nigra,0.9717762,9.433732,0.05272305,8.446667,7.586667,1.0126107
Quercus_oblongifolia,2.4380871,5.899195,0.13464409,3.775,2.75,1.016957013
Quercus_pagoda,1.2502898,11.216241,0.03427705,15.858333,30.808333,1.0160971
Quercus_palustris,2.0818322,12.085687,0.0618352,12.458333,25.283333,1.0351164
Quercus_phellos,1.7959948,12.325219,0.11157472,8.283333,2.777778,1.0040478
Quercus_prinoides,1.2580847,7.84877,0.09615272,10.386111,11.277778,0.9169555
Quercus_rubra,1.1016518,12.727355,0.0322957,17.486667,31.976,0.9498292
Quercus_rugosa,0.6732424,5.51009,0.02776406,10.817692,6.146154,0.991702
Quercus_shumardii,1.7974783,9.129764,0.04709777,15.99375,38.85625,0.981101
Quercus_similis,1.2730101,8.854998,0.03935614,7.4,4.2,1.0564423
Quercus_sinuata,1.3504941,10.440959,0.05775406,8.011111,6.032222,1.1025712
Quercus_stellata,0.9355695,9.619271,0.02769698,13.644444,11.347407,0.9201959
Quercus_texana,2.196601,8.548828,0.06499629,13.76,25.660667,1.0304977
Quercus_velutina,1.6212505,8.841141,0.03417785,16.404167,41.05,1.0708995
Quercus_virginiana,1.8425527,5.775794,0.0880704,5.357143,4.09619,0.9641505
Quercus_wislizeni,1.9206778,6.480824,0.08151603,4.872222,5.772222,1.0840681
